ENDW,ACTS,REG,value
skl,AGR-a,SAS,819.2144011590049
skl,AGR-a,XLC,11561.60833029555
skl,AGR-a,ROW,6632.322307851563
skl,FRS-a,CHN,1745.5281966148223
skl,FRS-a,XEA,236.86609707007153
skl,FRS-a,USA,1944.1383744919865
skl,FRS-a,RUS,113.11055470073096
skl,FRS-a,EUR,1046.2398417064346
skl,FRS-a,XOE,716.4902433344287
skl,FRS-a,OPC,196.23036313340057
skl,FRS-a,SAS,34.94105332196773
skl,FRS-a,XLC,365.72036401729207
skl,FRS-a,ROW,365.94419376711096
skl,COA-a,CHN,2369.3285731615592
skl,COA-a,XEA,627.0475639427816
skl,COA-a,USA,3641.737523017625
skl,COA-a,RUS,1272.145252014871
skl,COA-a,EUR,2004.2247423181257
skl,COA-a,XOE,2266.390105589224
skl,COA-a,OPC,117.34195665556211
skl,COA-a,SAS,143.08117978494056
skl,COA-a,XLC,531.9896272212466
skl,COA-a,ROW,1134.6707432959174
skl,OIL-a,CHN,1277.6448985640818
skl,OIL-a,XEA,3099.7686343624955
skl,OIL-a,USA,9885.954055146069
skl,OIL-a,RUS,5677.393464623081
skl,OIL-a,EUR,3110.632469338047
skl,OIL-a,XOE,2857.510688390131
skl,OIL-a,OPC,38236.24871058677
skl,OIL-a,SAS,285.9877461540874
skl,OIL-a,XLC,4504.492445076002
skl,OIL-a,ROW,3932.219341784146
skl,GAS-a,CHN,53.80790805699663
skl,GAS-a,XEA,3697.0253153065078
skl,GAS-a,USA,3523.273305729183
skl,GAS-a,RUS,5372.513026708201
skl,GAS-a,EUR,3346.092807472693
skl,GAS-a,XOE,1415.2358840440181
skl,GAS-a,OPC,4586.565310997143
skl,GAS-a,SAS,764.5556780066956
skl,GAS-a,XLC,655.7764127444217
skl,GAS-a,ROW,2286.7520273692653
skl,OXT-a,CHN,3702.0642793028287
skl,OXT-a,XEA,2364.2929259674866
skl,OXT-a,USA,4927.596109359484
skl,OXT-a,RUS,1056.3101831855442
skl,OXT-a,EUR,4812.243990184883
skl,OXT-a,XOE,8048.474947479537
skl,OXT-a,OPC,6396.038418390379
skl,OXT-a,SAS,485.61014645601796
skl,OXT-a,XLC,6097.237158593574
skl,OXT-a,ROW,4072.6177101125095
skl,EIT-a,CHN,63763.59272706884
skl,EIT-a,XEA,22002.46614872596
skl,EIT-a,USA,143408.54491991978
skl,EIT-a,RUS,5506.124736666522
skl,EIT-a,EUR,182314.06978564337
skl,EIT-a,XOE,80586.66561695088
skl,EIT-a,OPC,45123.462795807885
skl,EIT-a,SAS,4555.994350167838
skl,EIT-a,XLC,26668.988959753682
skl,EIT-a,ROW,20195.376866894447
skl,XMN-a,CHN,120992.32361378892
skl,XMN-a,XEA,63226.236948511134
skl,XMN-a,USA,309118.4852570162
skl,XMN-a,RUS,16210.746030802495
skl,XMN-a,EUR,414205.27311915404
skl,XMN-a,XOE,186923.89898203124
skl,XMN-a,OPC,110323.45807509901
skl,XMN-a,SAS,20163.79462695098
skl,XMN-a,XLC,50494.99244698856
skl,XMN-a,ROW,50343.04224490662
skl,P_C-a,CHN,1673.5554776979309
skl,P_C-a,XEA,1330.4221144449532
skl,P_C-a,USA,1882.8605061913909
skl,P_C-a,RUS,537.6821385802045
skl,P_C-a,EUR,3652.7967868082337
skl,P_C-a,XOE,2165.113121479838
skl,P_C-a,OPC,2455.6229928188227
skl,P_C-a,SAS,229.49761890754752
skl,P_C-a,XLC,794.5802297496648
skl,P_C-a,ROW,695.2940411428797
skl,ETD-a,CHN,3994.3146979042126
skl,ETD-a,XEA,2054.5257118824306
skl,ETD-a,USA,8413.836173415375
skl,ETD-a,RUS,536.1199639979234
skl,ETD-a,EUR,13368.210003296843
skl,ETD-a,XOE,7213.44847143764
skl,ETD-a,OPC,2796.480224344358
skl,ETD-a,SAS,4766.051720476116
skl,ETD-a,XLC,1194.6300667832413
skl,ETD-a,ROW,4994.616272117189
skl,CLP-a,CHN,411.9446679236162
skl,CLP-a,XEA,481.5674024489916
skl,CLP-a,USA,1010.5001612385441
skl,CLP-a,RUS,5.117763802926408
skl,CLP-a,EUR,2177.953487098428
skl,CLP-a,XOE,1350.324858050503
skl,CLP-a,OPC,330.01606259146104
skl,CLP-a,SAS,2884.0529824344126
skl,CLP-a,XLC,65.28033536362871
skl,CLP-a,ROW,791.3983820611522
skl,OLP-a,CHN,20.953592092776788
skl,OLP-a,XEA,146.94666260217286
skl,OLP-a,USA,39.657580182478256
skl,OLP-a,RUS,7.891118061552517
skl,OLP-a,EUR,402.69838208061174
skl,OLP-a,XOE,1070.6859752829464
skl,OLP-a,OPC,501.80654689846733
skl,OLP-a,SAS,274.07956439692697
skl,OLP-a,XLC,331.34099943815613
skl,OLP-a,ROW,102.98123526547998
skl,GSP-a,CHN,67.71122765132466
skl,GSP-a,XEA,257.7919858883924
skl,GSP-a,USA,230.23637219523005
skl,GSP-a,RUS,45.017618814043516
skl,GSP-a,EUR,866.6842793657567
skl,GSP-a,XOE,651.7400251629674
skl,GSP-a,OPC,330.6297977691281
skl,GSP-a,SAS,305.85489507742926
skl,GSP-a,XLC,115.015288462649
skl,GSP-a,ROW,389.697299733325
skl,NUC-a,CHN,281.5228559148649
skl,NUC-a,XEA,26.594708749203228
