ENDW,ACTS,REG,value
nsk,GAS-a,OPC,3575.5248038188215
nsk,GAS-a,SAS,1514.0803464621226
nsk,GAS-a,XLC,832.0221714357749
nsk,GAS-a,ROW,4746.660170943867
nsk,OXT-a,CHN,39740.5142647576
nsk,OXT-a,XEA,9293.141533010894
nsk,OXT-a,USA,5917.028532715197
nsk,OXT-a,RUS,1653.7311985094834
nsk,OXT-a,EUR,5949.723436549288
nsk,OXT-a,XOE,8871.331159801639
nsk,OXT-a,OPC,8180.861977480351
nsk,OXT-a,SAS,5456.176265965722
nsk,OXT-a,XLC,7284.174662494077
nsk,OXT-a,ROW,9100.615875204277
nsk,EIT-a,CHN,326389.78650118044
nsk,EIT-a,XEA,57084.021674682255
nsk,EIT-a,USA,290495.5632943599
nsk,EIT-a,RUS,15014.707098352283
nsk,EIT-a,EUR,228042.47261674423
nsk,EIT-a,XOE,132830.74232910736
nsk,EIT-a,OPC,42615.96039203259
nsk,EIT-a,SAS,25479.413932958178
nsk,EIT-a,XLC,42099.25847557117
nsk,EIT-a,ROW,41126.45839185477
nsk,XMN-a,CHN,640443.5721665155
nsk,XMN-a,XEA,143523.08940883054
nsk,XMN-a,USA,624921.7927376102
nsk,XMN-a,RUS,44330.60951345288
nsk,XMN-a,EUR,526476.6532858522
nsk,XMN-a,XOE,330570.1125823972
nsk,XMN-a,OPC,94059.50551883716
nsk,XMN-a,SAS,109658.40160355056
nsk,XMN-a,XLC,98496.78825773424
nsk,XMN-a,ROW,104737.52708117056
nsk,P_C-a,CHN,8566.495880079783
nsk,P_C-a,XEA,3200.445579166288
nsk,P_C-a,USA,3814.0167453110744
nsk,P_C-a,RUS,1466.2091664686666
nsk,P_C-a,EUR,4359.336552258595
nsk,P_C-a,XOE,2905.3793472835973
nsk,P_C-a,OPC,6366.300504083011
nsk,P_C-a,SAS,699.1517628784447
nsk,P_C-a,XLC,3015.007467988675
nsk,P_C-a,ROW,1377.8549405433505
nsk,ETD-a,CHN,12415.358113318514
nsk,ETD-a,XEA,2043.0655057957172
nsk,ETD-a,USA,10529.728604394468
nsk,ETD-a,RUS,1018.170196457586
nsk,ETD-a,EUR,12737.530240051916
nsk,ETD-a,XOE,7010.672253251076
nsk,ETD-a,OPC,3337.092994269625
nsk,ETD-a,SAS,2102.875755455532
nsk,ETD-a,XLC,1722.368414323379
nsk,ETD-a,ROW,6639.863133422012
nsk,CLP-a,CHN,3411.360529591545
nsk,CLP-a,XEA,748.3443734451265
nsk,CLP-a,USA,5608.347317415624
nsk,CLP-a,RUS,12.049036580022216
nsk,CLP-a,EUR,3867.90234643547
nsk,CLP-a,XOE,1698.976758916032
nsk,CLP-a,OPC,812.4856631482115
nsk,CLP-a,SAS,1508.2019900703579
nsk,CLP-a,XLC,142.73454228888272
nsk,CLP-a,ROW,2501.2987205587588
nsk,OLP-a,CHN,116.90807326705759
nsk,OLP-a,XEA,134.57867024488712
nsk,OLP-a,USA,180.91971065332743
nsk,OLP-a,RUS,10.781339440494776
nsk,OLP-a,EUR,392.06291993297236
nsk,OLP-a,XOE,751.4791803940607
nsk,OLP-a,OPC,487.5760327428579
nsk,OLP-a,SAS,129.6640741878186
nsk,OLP-a,XLC,569.8854811946065
nsk,OLP-a,ROW,139.50984608845727
nsk,GSP-a,CHN,377.78673164682357
nsk,GSP-a,XEA,292.8890016239439
nsk,GSP-a,USA,1125.1567950185358
nsk,GSP-a,RUS,75.61183577808518
nsk,GSP-a,EUR,1130.7171082005368
nsk,GSP-a,XOE,763.663651227951
nsk,GSP-a,OPC,367.3857402293943
nsk,GSP-a,SAS,121.47936111498709
nsk,GSP-a,XLC,264.93903927348947
nsk,GSP-a,ROW,667.7183506314478
nsk,NUC-a,CHN,859.4027526727755
nsk,NUC-a,XEA,32.91299509797878
nsk,NUC-a,USA,5407.754330826707
nsk,NUC-a,RUS,55.37511909008025
nsk,NUC-a,EUR,5058.312522172928
nsk,NUC-a,XOE,1268.1711597442625
nsk,NUC-a,OPC,299.61078423934305
