COMM,SRC,DST,value
FRS,ROW,OPC,41.719218897311855
FRS,ROW,SAS,170.53048004700148
FRS,ROW,XLC,16.763330327234428
FRS,ROW,ROW,295.81263504146295
COA,CHN,XEA,787.6803839115748
COA,CHN,USA,4.452155293458403
COA,CHN,RUS,4.207939574608934
COA,CHN,EUR,11.87037776543914
COA,CHN,XOE,886.6910398737788
COA,CHN,OPC,1.3580479947137556
COA,CHN,SAS,44.842624971508705
COA,CHN,XLC,2.880242835825332
COA,CHN,ROW,4.609805763699254
COA,XEA,CHN,12656.766099264642
COA,XEA,XEA,8132.737261193495
COA,XEA,USA,40.241766450076696
COA,XEA,RUS,22.57058042079788
COA,XEA,EUR,1082.0847612284206
COA,XEA,XOE,8916.168217104392
COA,XEA,OPC,13.947127101574393
COA,XEA,SAS,4094.251901946268
COA,XEA,XLC,59.238080589982296
COA,XEA,ROW,404.5604500934554
COA,USA,CHN,468.0108251955699
COA,USA,XEA,10.75108403408174
COA,USA,RUS,941.6207175571653
COA,USA,EUR,5227.3106771714365
COA,USA,XOE,2027.7002236044652
COA,USA,OPC,931.3537751002
COA,USA,SAS,315.09835892880966
COA,USA,XLC,379.0078339480579
COA,USA,ROW,2323.5526202463993
COA,RUS,CHN,1472.0274383544845
COA,RUS,XEA,291.09104678244427
COA,RUS,USA,0.9227308416962485
COA,RUS,EUR,5785.832854079145
COA,RUS,XOE,3992.578963708036
COA,RUS,OPC,205.37097888117654
COA,RUS,SAS,100.66831822249628
COA,RUS,XLC,1.3063653802416968
COA,RUS,ROW,1450.5207678015038
COA,EUR,CHN,1.1404000061535546
COA,EUR,XEA,3.249915170141958
COA,EUR,USA,1.6956097889430664
COA,EUR,RUS,9.279678217942374
COA,EUR,EUR,1871.5843371232363
COA,EUR,XOE,7.018610374226187
COA,EUR,OPC,4.034725443677476
COA,EUR,SAS,6.9726470414389885
COA,EUR,XLC,1.2180649642705554
COA,EUR,ROW,40.736784297775316
COA,XOE,CHN,4260.69057274433
