COMM,SRC,DST,value
FRS,OPC,CHN,318.9244188214826
FRS,OPC,XEA,31.34208123108662
FRS,OPC,USA,13.441219847419703
FRS,OPC,RUS,1.4130160234209022
FRS,OPC,EUR,184.79592354427305
FRS,OPC,XOE,5.685982221374779
FRS,OPC,OPC,33.15334168223018
FRS,OPC,SAS,85.02177189587799
FRS,OPC,XLC,10.359073441063513
FRS,OPC,ROW,22.212773050111227
FRS,SAS,CHN,17.436713687473198
FRS,SAS,XEA,27.722257703625754
FRS,SAS,USA,56.08217576592421
FRS,SAS,RUS,2.2065269333965754
FRS,SAS,EUR,107.22771090875196
FRS,SAS,XOE,29.679309535712214
FRS,SAS,OPC,24.31313235054419
FRS,SAS,SAS,94.46758598440927
FRS,SAS,XLC,5.963460727499947
FRS,SAS,ROW,28.208176250796267
FRS,XLC,CHN,131.859396446185
FRS,XLC,XEA,53.87181041344217
FRS,XLC,USA,111.16092854881776
FRS,XLC,RUS,2.755666155822251
FRS,XLC,EUR,204.2950713549754
FRS,XLC,XOE,32.92232915514293
FRS,XLC,OPC,13.5004900265054
FRS,XLC,SAS,161.17260696909827
FRS,XLC,XLC,24.16754533206322
FRS,XLC,ROW,8.881697426882239
FRS,ROW,CHN,857.5648495120342
FRS,ROW,XEA,156.8505346748608
FRS,ROW,USA,71.94372699142981
FRS,ROW,RUS,22.911535961213744
FRS,ROW,EUR,1058.6861810663252
FRS,ROW,XOE,59.01231623940284
FRS,ROW,OPC,44.984204318243144
FRS,ROW,SAS,203.70781968757606
FRS,ROW,XLC,17.557286161415753
FRS,ROW,ROW,337.847177895542
COA,CHN,XEA,968.4470094820913
COA,CHN,USA,5.607426816216811
COA,CHN,RUS,4.945933258030011
COA,CHN,EUR,13.834391112495444
COA,CHN,XOE,1098.6129729446923
COA,CHN,OPC,1.576494222567426
COA,CHN,SAS,60.74131981992468
COA,CHN,XLC,3.2250713837678204
COA,CHN,ROW,5.234024811432874
COA,XEA,CHN,14237.090886708842
COA,XEA,XEA,9202.083647156482
COA,XEA,USA,48.53257886108652
COA,XEA,RUS,23.877832111353893
COA,XEA,EUR,1217.9233592463888
COA,XEA,XOE,9972.726061276033
COA,XEA,OPC,16.701267577780076
COA,XEA,SAS,4801.640938569855
COA,XEA,XLC,70.8328868410995
COA,XEA,ROW,490.3938173221261
COA,USA,CHN,510.5276001151069
COA,USA,XEA,11.313732184550364
COA,USA,RUS,1059.2009489121597
COA,USA,EUR,5541.8452954369395
COA,USA,XOE,2278.7158891623108
COA,USA,OPC,1023.3272205679459
COA,USA,SAS,357.37997790736944
COA,USA,XLC,425.814959434904
COA,USA,ROW,2526.5652845022937
COA,RUS,CHN,1631.868250858878
COA,RUS,XEA,322.46121308514984
COA,RUS,USA,0.94030845544085
COA,RUS,EUR,6701.093298023333
COA,RUS,XOE,4439.73350636678
COA,RUS,OPC,231.20734343984566
COA,RUS,SAS,116.6865365638901
COA,RUS,XLC,1.320222304864059
COA,RUS,ROW,1663.0449078929446
COA,EUR,CHN,1.1423251512183352
COA,EUR,XEA,3.322455441949595
COA,EUR,USA,1.7017542377728958
COA,EUR,RUS,9.46891424707589
COA,EUR,EUR,2283.5254163898207
COA,EUR,XOE,7.636965359210043
COA,EUR,OPC,4.438549018739809
COA,EUR,SAS,7.781752846645863
COA,EUR,XLC,1.2198690506609409
COA,EUR,ROW,45.06457849644869
COA,XOE,CHN,4665.202817693729
COA,XOE,XEA,4246.784853528063
COA,XOE,USA,217.4713677366779
COA,XOE,RUS,15.863632407868518
COA,XOE,EUR,4255.106329094093
COA,XOE,XOE,23940.184007168027
COA,XOE,OPC,1038.0564335227702
COA,XOE,SAS,11251.841453051808
COA,XOE,XLC,664.6434578484334
COA,XOE,ROW,1680.8481605100862
COA,OPC,CHN,28.338451880878054
COA,OPC,XEA,13.646633778204384
COA,OPC,USA,33.08468288802489
COA,OPC,RUS,1407.6968975886207
COA,OPC,EUR,610.9376662727217
COA,OPC,XOE,20.158990507755213
COA,OPC,OPC,29.09329137073702
COA,OPC,SAS,25.698715872721518
COA,OPC,XLC,12.697782855956994
COA,OPC,ROW,624.0614411892876
COA,SAS,CHN,3.5451953291180516
