COMM,SRC,DST,value
OIL,CHN,XLC,0.2792378648502273
OIL,CHN,ROW,0.40661804350163516
OIL,XEA,CHN,2586.0596238370003
OIL,XEA,XEA,6648.899808460011
OIL,XEA,USA,1329.6839473637558
OIL,XEA,RUS,0.21238697719181723
OIL,XEA,EUR,80.8719663505869
OIL,XEA,XOE,18372.288192138494
OIL,XEA,OPC,82.6890137857148
OIL,XEA,SAS,2749.2009172333433
OIL,XEA,XLC,27.195284022723587
OIL,XEA,ROW,36.393368193660564
OIL,USA,CHN,0.18545108396178975
OIL,USA,XEA,1.973321929252123
OIL,USA,EUR,3.8661869887798836
OIL,USA,XOE,352.876281865076
OIL,USA,OPC,96.89930685569006
OIL,USA,SAS,71.12897566331759
OIL,USA,XLC,57.99113471571822
OIL,USA,ROW,99.03568934501074
OIL,RUS,CHN,21819.535169548173
OIL,RUS,XEA,3534.938357262279
OIL,RUS,USA,11567.934364463701
OIL,RUS,EUR,142275.99980983147
OIL,RUS,XOE,16770.168738201566
OIL,RUS,OPC,84.89727415991788
OIL,RUS,SAS,235.77003398846173
OIL,RUS,XLC,893.832148135046
OIL,RUS,ROW,15884.089942777127
OIL,EUR,CHN,257.04362732728856
OIL,EUR,XEA,29.025582727853532
OIL,EUR,USA,4435.141434757556
OIL,EUR,RUS,0.015516957261551296
OIL,EUR,EUR,64593.941342090206
OIL,EUR,XOE,2296.060576649526
OIL,EUR,OPC,25.10093729447845
OIL,EUR,SAS,68.2877166923829
OIL,EUR,XLC,575.2669316429915
OIL,EUR,ROW,627.9736021829536
OIL,XOE,CHN,1929.5074424667816
OIL,XOE,XEA,2017.9129278429025
OIL,XOE,USA,49735.8392109916
OIL,XOE,RUS,0.030418932201142765
OIL,XOE,EUR,49.70117998423147
OIL,XOE,XOE,1717.809927516659
OIL,XOE,OPC,256.01073324462476
OIL,XOE,SAS,389.46513640620276
OIL,XOE,XLC,499.7989020697945
OIL,XOE,ROW,23.549784569823746
OIL,OPC,CHN,139037.40609588387
OIL,OPC,XEA,105129.90910663182
OIL,OPC,USA,195770.86087177065
OIL,OPC,RUS,21.086818980737768
