ENDW,ACTS,REG,value
nsk,SOL-a,EUR,910.7591376252532
nsk,SOL-a,XOE,72.89007543027401
nsk,SOL-a,SAS,3.569280997774808
nsk,SOL-a,XLC,0.3335366793836205
nsk,SOL-a,ROW,6.159750169245932
nsk,WND-a,CHN,701.1454743516114
nsk,WND-a,XEA,4.33661890600517
nsk,WND-a,USA,658.37554370181
nsk,WND-a,RUS,2.8814904895216757e-05
nsk,WND-a,EUR,2462.215639976552
nsk,WND-a,XOE,159.67204846814275
nsk,WND-a,OPC,63.87370007392017
nsk,WND-a,SAS,83.92246999817196
nsk,WND-a,XLC,15.165238613791972
nsk,WND-a,ROW,141.20848331669816
nsk,XEL-a,CHN,699.8600105754128
nsk,XEL-a,XEA,70.19660739662163
nsk,XEL-a,USA,645.3065366439448
nsk,XEL-a,RUS,2.419288156554103
nsk,XEL-a,EUR,2797.114468798245
nsk,XEL-a,XOE,538.6822640597819
nsk,XEL-a,OPC,804.5544616973493
nsk,XEL-a,SAS,87.213111212636
nsk,XEL-a,XLC,174.69159291273547
nsk,XEL-a,ROW,60.916615669521214
nsk,SRV-a,CHN,1221372.3057100798
nsk,SRV-a,XEA,422223.55097522546
nsk,SRV-a,USA,3071873.2551029585
nsk,SRV-a,RUS,164727.9808041549
nsk,SRV-a,EUR,2503635.8452420067
nsk,SRV-a,XOE,1796676.2263310147
nsk,SRV-a,OPC,825770.1331599834
nsk,SRV-a,SAS,291892.0275188795
nsk,SRV-a,XLC,422652.49672799476
nsk,SRV-a,ROW,414793.80411319557
skl,AGR-a,CHN,18931.730664043418
skl,AGR-a,XEA,3932.747012995759
skl,AGR-a,USA,47527.528938023206
skl,AGR-a,RUS,1588.3906529694207
skl,AGR-a,EUR,37816.04397855279
skl,AGR-a,XOE,13401.778913066457
skl,AGR-a,OPC,5962.539865705088
skl,AGR-a,SAS,851.044698245958
skl,AGR-a,XLC,12829.884547498083
skl,AGR-a,ROW,8343.4802173133
skl,FRS-a,CHN,1762.899478573602
skl,FRS-a,XEA,268.8080892560674
skl,FRS-a,USA,2846.0825576822795
skl,FRS-a,RUS,195.03844133660567
skl,FRS-a,EUR,1961.5796082076772
skl,FRS-a,XOE,921.1800436973572
skl,FRS-a,OPC,258.7708813680606
skl,FRS-a,SAS,36.27905987929275
skl,FRS-a,XLC,416.7716608098054
skl,FRS-a,ROW,464.536365996623
skl,COA-a,CHN,2392.9078397567387
skl,COA-a,XEA,699.792368343783
skl,COA-a,USA,5331.249464655339
skl,COA-a,RUS,2193.5814556651403
skl,COA-a,EUR,3763.617689506462
skl,COA-a,XOE,2935.592188621718
