Sim,Reg,RLab,CLab,Year,Value
COMP,E27,mtax,man,1,39744.62940028974
COMP,E27,man,USA,1,367990.3417989874
COMP,E27,man,E27,1,3.027974817569461e6
COMP,E27,man,ROW,1,2.047241510873771e6
COMP,E27,etax,man,1,-2948.725456629109
COMP,E27,USA,srv,1,175501.4036483574
COMP,E27,E27,srv,1,746303.150129153
COMP,E27,ROW,srv,1,647243.4674336014
COMP,E27,mtax,srv,1,0.0
COMP,E27,srv,USA,1,139331.92770685675
COMP,E27,srv,E27,1,746303.1501121292
COMP,E27,srv,ROW,1,667650.6533560469
COMP,E27,etax,srv,1,0.0
COMP,E27,USA,BoP,1,509179.471410627
COMP,E27,E27,BoP,1,3.875003865552362e6
COMP,E27,ROW,BoP,1,2.757766303853843e6
COMP,E27,BoP,USA,1,472032.6123680981
COMP,E27,BoP,E27,1,3.9475483035943373e6
COMP,E27,BoP,ROW,1,3.0853022836553087e6
COMP,E27,RegY,LAB,1,4.468039696188077e6
COMP,E27,dtax,LAB,1,1.6456480468519824e6
COMP,E27,RegY,CAP,1,6.268371244495372e6
COMP,E27,dtax,CAP,1,418525.22420390486
COMP,E27,hhd,RegY,1,1.0693371543336026e7
COMP,E27,inv,RegY,1,1.019476527803322e6
COMP,E27,gov,RegY,1,3.9842846207145527e6
COMP,E27,deprY,RegY,1,2.5474076678624647e6
COMP,E27,inv,deprY,1,2.5474076678624647e6
COMP,E27,agr,hhd,1,161008.48365071008
COMP,E27,agr,gov,1,458.9587315859754
COMP,E27,agr,inv,1,6302.421282919117
COMP,E27,man,hhd,1,3.2970096899632066e6
COMP,E27,man,gov,1,66540.51602910485
COMP,E27,man,inv,1,1.0759531937246027e6
COMP,E27,srv,hhd,1,5.950038326484763e6
COMP,E27,srv,gov,1,3.9162867048656503e6
COMP,E27,srv,inv,1,2.4840042531435955e6
COMP,E27,itax,hhd,1,1.2853150435417485e6
COMP,E27,itax,gov,1,998.4416838782781
COMP,E27,itax,inv,1,14817.064773284568
COMP,E27,agr,tmg,1,0.0
COMP,E27,man,tmg,1,0.0
COMP,E27,srv,tmg,1,348741.3853758992
COMP,E27,tmg,BoP,1,348741.3853758992
COMP,E27,inv,BoP,1,14192.737324608019
COMP,E27,RegY,itax,1,1.6667464321830065e6
COMP,E27,RegY,vtax,1,2.7471761857419116e6
COMP,E27,RegY,ptax,1,991533.9973358915
COMP,E27,RegY,mtax,1,41579.70653676732
COMP,E27,RegY,etax,1,-3079.9503999339827
COMP,E27,RegY,dtax,1,2.0641732710558872e6
COMP,ROW,agr,agr-a,1,527887.5888701244
COMP,ROW,man,agr-a,1,718702.4716507416
COMP,ROW,srv,agr-a,1,491540.88550008315
COMP,ROW,LAB,agr-a,1,1.3598485098390684e6
COMP,ROW,CAP,agr-a,1,1.4768720749314039e6
