variable,value
"qva[NUC-a,USA]",0.998538072085489
"qva[HYD-a,USA]",1.0021632375614857
"qva[SOL-a,USA]",1.0077175900359931
"qva[WND-a,USA]",0.9896939313768826
"qva[XEL-a,USA]",1.0142827527790421
"qva[SRV-a,USA]",1.0000001859321674
"qva[AGR-a,RUS]",1.0000000581094575
"qva[FRS-a,RUS]",1.0000000100889688
"qva[COA-a,RUS]",0.9999999999684706
"qva[OIL-a,RUS]",0.9999999999814515
"qva[GAS-a,RUS]",0.9999999999617006
"qva[OXT-a,RUS]",0.9999999908344975
"qva[EIT-a,RUS]",1.0000000159345195
"qva[XMN-a,RUS]",1.0000000360442471
"qva[P_C-a,RUS]",1.000002033587482
"qva[ETD-a,RUS]",1.000057971143689
"qva[CLP-a,RUS]",0.9999990348407144
"qva[OLP-a,RUS]",0.9995481798216415
"qva[GSP-a,RUS]",0.9999997162029518
"qva[NUC-a,RUS]",0.9989796660118181
"qva[HYD-a,RUS]",0.9971487504625828
"qva[SOL-a,RUS]",0.0
"qva[WND-a,RUS]",112.43872825085705
"qva[XEL-a,RUS]",1.057586285392603
"qva[SRV-a,RUS]",0.9999999762203593
"qva[AGR-a,EUR]",0.9999999084344907
"qva[FRS-a,EUR]",0.99999999572403
"qva[COA-a,EUR]",0.999999999813323
"qva[OIL-a,EUR]",0.9999999978130218
"qva[GAS-a,EUR]",0.9999999945858027
"qva[OXT-a,EUR]",0.9999999876629102
"qva[EIT-a,EUR]",0.9999999390077574
"qva[XMN-a,EUR]",0.9999998241977224
"qva[P_C-a,EUR]",0.9999999604808936
"qva[ETD-a,EUR]",1.0000453112884826
"qva[CLP-a,EUR]",1.0000002495637736
"qva[OLP-a,EUR]",1.0000010629937448
"qva[GSP-a,EUR]",1.0000000341571507
"qva[NUC-a,EUR]",0.9999306721625294
"qva[HYD-a,EUR]",1.0003940795665214
"qva[SOL-a,EUR]",0.9993889252262503
"qva[WND-a,EUR]",0.9999200666774465
"qva[XEL-a,EUR]",0.999861347627612
"qva[SRV-a,EUR]",0.9999999963704196
"qva[AGR-a,XOE]",0.999999961672453
"qva[FRS-a,XOE]",0.9999999982474891
"qva[COA-a,XOE]",1.000000000102234
"qva[OIL-a,XOE]",0.9999999999202613
"qva[GAS-a,XOE]",1.0000000023047526
"qva[OXT-a,XOE]",1.0000000173720693
"qva[EIT-a,XOE]",0.9999998887450291
"qva[XMN-a,XOE]",0.9999998805033304
"qva[P_C-a,XOE]",0.9999996853946838
"qva[ETD-a,XOE]",1.0000327768064874
"qva[CLP-a,XOE]",1.0000000167440446
"qva[OLP-a,XOE]",1.0000151103398647
"qva[GSP-a,XOE]",1.0000002454627852
"qva[NUC-a,XOE]",0.9994970375484993
"qva[HYD-a,XOE]",1.0000100979299835
"qva[SOL-a,XOE]",0.9956720410082666
"qva[WND-a,XOE]",1.0068277550831772
"qva[XEL-a,XOE]",0.999687103740793
"qva[SRV-a,XOE]",0.9999999189030396
"qva[AGR-a,OPC]",0.9999999766482597
"qva[FRS-a,OPC]",1.0000000848978243
"qva[COA-a,OPC]",1.0000000000012037
"qva[OIL-a,OPC]",1.0000000000773583
"qva[GAS-a,OPC]",1.0000000001738587
"qva[OXT-a,OPC]",1.000000000973612
"qva[EIT-a,OPC]",0.9999999623532112
"qva[XMN-a,OPC]",0.9999997601899256
"qva[P_C-a,OPC]",1.0000022504440826
"qva[ETD-a,OPC]",1.0011137787869266
"qva[CLP-a,OPC]",0.9999969731369114
"qva[OLP-a,OPC]",0.9999825453257872
"qva[GSP-a,OPC]",0.9999972155513291
"qva[NUC-a,OPC]",0.9714916907446292
"qva[HYD-a,OPC]",0.9967051876084325
"qva[SOL-a,OPC]",0.0
"qva[WND-a,OPC]",1.237983339541618
"qva[XEL-a,OPC]",0.9972284043765804
"qva[SRV-a,OPC]",1.0000002495303326
"qva[AGR-a,SAS]",1.000000002752795
"qva[FRS-a,SAS]",1.0000001406305052
"qva[COA-a,SAS]",0.9999999991627655
"qva[OIL-a,SAS]",0.9999999928840674
"qva[GAS-a,SAS]",0.999999997585258
"qva[OXT-a,SAS]",1.0000000003972296
"qva[EIT-a,SAS]",0.9999995359802281
"qva[XMN-a,SAS]",0.9999995427012894
"qva[P_C-a,SAS]",0.9999999276279556
"qva[ETD-a,SAS]",1.0000991058607358
"qva[CLP-a,SAS]",1.000000146658233
"qva[OLP-a,SAS]",1.0001083244255689
"qva[GSP-a,SAS]",1.0000000775357911
"qva[NUC-a,SAS]",0.9986002988840178
"qva[HYD-a,SAS]",1.0038170317101764
"qva[SOL-a,SAS]",0.7156096803176326
"qva[WND-a,SAS]",1.002320563249458
"qva[XEL-a,SAS]",0.9969419374666116
"qva[SRV-a,SAS]",0.9999998730149199
"qva[AGR-a,XLC]",0.9999999753497177
"qva[FRS-a,XLC]",1.000000041524686
"qva[COA-a,XLC]",0.9999999998695749
"qva[OIL-a,XLC]",0.9999999996640491
"qva[GAS-a,XLC]",1.0000000006779748
"qva[OXT-a,XLC]",0.9999999701979753
"qva[EIT-a,XLC]",0.9999996112040254
"qva[XMN-a,XLC]",0.9999999393486483
"qva[P_C-a,XLC]",1.0000009065360964
"qva[ETD-a,XLC]",1.0001506991135118
"qva[CLP-a,XLC]",0.9999989287032485
"qva[OLP-a,XLC]",0.9999295740958606
"qva[GSP-a,XLC]",0.9999998660338638
"qva[NUC-a,XLC]",0.9926676530033621
"qva[HYD-a,XLC]",0.9994571027824298
